Date,Open,High,Low,Close,Volume,Turnover,Index_Name
2019-02-14,25767.9,25977.95,25758.4,25945.7,192491625.0,33358300000.0,NIFTY NEXT 50
2019-02-15,25911.55,25932.2,25308.95,25500.6,188739756.0,37017900000.0,NIFTY NEXT 50
2019-02-18,25490.0,25496.65,25131.55,25296.45,129701175.0,31039600000.0,NIFTY NEXT 50
2019-02-19,25310.65,25556.9,25307.1,25337.5,173028390.0,33402100000.0,NIFTY NEXT 50
2019-02-20,25434.1,25732.05,25434.1,25677.3,170327880.0,34687100000.0,NIFTY NEXT 50
2019-02-21,25724.95,25944.7,25674.45,25896.95,156413872.0,29569200000.0,NIFTY NEXT 50
2019-02-22,25930.2,26124.0,25867.35,26097.55,168739680.0,31067300000.0,NIFTY NEXT 50
2019-02-25,26179.05,26241.65,26093.9,26212.65,221369623.0,38994400000.0,NIFTY NEXT 50
2019-02-26,26006.35,26340.65,25796.35,26199.65,192202789.0,40308500000.0,NIFTY NEXT 50
2019-02-27,26301.65,26658.2,26136.8,26310.85,191312754.0,41183100000.00001,NIFTY NEXT 50
2019-02-28,26415.35,26552.1,26347.3,26514.45,301919112.0,50428000000.0,NIFTY NEXT 50
2019-03-01,26613.55,26863.75,26594.45,26847.9,252426712.0,46068400000.0,NIFTY NEXT 50
2019-03-05,26884.0,27378.6,26867.15,27347.05,232537830.0,44253600000.0,NIFTY NEXT 50
2019-03-06,27500.5,27714.55,27443.6,27558.1,249243183.0,46550600000.00001,NIFTY NEXT 50
2019-03-07,27598.55,27668.55,27393.95,27429.5,247268722.0,38967600000.0,NIFTY NEXT 50
2019-03-08,27401.75,27491.2,27294.45,27458.2,189227583.0,34846300000.0,NIFTY NEXT 50
2019-03-11,27573.25,28106.15,27546.6,28087.55,213017761.0,43280200000.00001,NIFTY NEXT 50
2019-03-12,28261.15,28427.35,28156.4,28208.3,244675495.0,56662600000.0,NIFTY NEXT 50
2019-03-13,28269.65,28314.7,28005.35,28047.85,244990707.0,54474600000.0,NIFTY NEXT 50
2019-03-14,28104.4,28143.85,27848.25,27942.1,172727340.0,42843500000.0,NIFTY NEXT 50
2019-03-15,27983.5,28128.55,27866.5,27907.65,232494773.0,50841899999.99999,NIFTY NEXT 50
2019-03-18,27995.55,28078.9,27841.1,27970.7,188052744.0,37148500000.0,NIFTY NEXT 50
2019-03-19,28066.65,28105.35,27953.4,28058.65,191600436.0,36873500000.0,NIFTY NEXT 50
2019-03-20,28110.15,28110.2,27906.3,27964.1,324574717.0,45673300000.0,NIFTY NEXT 50
2019-03-22,27965.15,28094.95,27737.5,27760.0,225144012.0,46283700000.0,NIFTY NEXT 50
2019-03-25,27606.7,27607.5,27353.0,27423.25,200324332.0,36193600000.0,NIFTY NEXT 50
2019-03-26,27497.2,27731.55,27487.05,27681.75,232935834.0,46602900000.0,NIFTY NEXT 50
2019-03-27,27806.65,27904.5,27575.95,27623.2,265133168.0,54361899999.99999,NIFTY NEXT 50
2019-03-28,27664.65,27915.3,27648.75,27873.05,409377111.0,76164300000.0,NIFTY NEXT 50
2019-03-29,28019.9,28307.05,27980.25,28281.9,468090289.0,69883800000.0,NIFTY NEXT 50
2019-04-01,28450.65,28544.2,28280.55,28334.0,256424647.0,51712000000.0,NIFTY NEXT 50
2019-04-02,28398.85,28409.25,28078.6,28137.0,241109847.0,45367900000.0,NIFTY NEXT 50
2019-04-03,28238.7,28342.85,28008.3,28033.15,285934854.0,53903300000.0,NIFTY NEXT 50
2019-04-04,28119.5,28128.35,27864.05,28020.55,290248549.0,44946800000.0,NIFTY NEXT 50
2019-04-05,28111.3,28255.9,28080.25,28143.05,314044083.0,38699900000.0,NIFTY NEXT 50
2019-04-08,28182.35,28269.95,27949.8,28039.3,347847899.0,53341400000.0,NIFTY NEXT 50
2019-04-09,28068.25,28177.25,27885.1,28146.45,231808483.0,38180800000.0,NIFTY NEXT 50
2019-04-10,28137.25,28221.35,28024.2,28056.8,220814696.0,42102200000.0,NIFTY NEXT 50
2019-04-11,28069.8,28181.15,27993.3,28148.55,217310648.0,41369399999.99999,NIFTY NEXT 50
2019-04-12,28171.6,28295.7,28165.0,28271.1,218937657.0,42644799999.99999,NIFTY NEXT 50
2019-04-15,28351.35,28406.15,28262.65,28389.5,212646737.0,31012100000.0,NIFTY NEXT 50
2019-04-16,28482.05,28588.3,28461.4,28542.45,261615558.0,47070600000.00001,NIFTY NEXT 50
2019-04-18,28593.75,28639.7,28304.1,28419.55,224570310.0,48417500000.0,NIFTY NEXT 50
2019-04-22,28317.15,28326.85,27882.45,27907.25,169873871.0,32187100000.0,NIFTY NEXT 50
2019-04-23,27967.55,28050.5,27842.25,27874.85,164504376.0,40144200000.0,NIFTY NEXT 50
2019-04-24,27885.55,28085.0,27811.95,28057.85,187954979.0,44107900000.0,NIFTY NEXT 50
2019-04-25,28093.65,28186.3,27874.95,27914.95,275948879.0,58658800000.0,NIFTY NEXT 50
2019-04-26,28015.6,28090.8,27875.6,27921.05,180858450.0,43474900000.0,NIFTY NEXT 50
2019-04-30,27888.55,27921.55,27608.05,27800.25,234839668.0,50736500000.0,NIFTY NEXT 50
2019-05-02,27750.4,27897.2,27617.6,27659.1,257990006.0,53988000000.0,NIFTY NEXT 50
2019-05-03,27656.3,27732.25,27486.05,27537.75,189997086.0,47181400000.0,NIFTY NEXT 50
2019-05-06,27345.95,27426.25,27155.1,27202.9,166636440.0,34241900000.0,NIFTY NEXT 50
2019-05-07,27294.65,27361.55,26999.3,27020.4,175691619.0,39899100000.0,NIFTY NEXT 50
2019-05-08,26983.05,26994.25,26655.75,26707.75,374270362.0,41391800000.0,NIFTY NEXT 50
2019-05-09,26649.25,26727.95,26463.65,26632.6,283034550.0,35453400000.0,NIFTY NEXT 50
2019-05-10,26643.35,26718.1,26500.8,26558.95,359338916.0,36252300000.0,NIFTY NEXT 50
2019-05-13,26507.4,26520.15,26024.0,26074.6,321050777.0,32266200000.0,NIFTY NEXT 50
2019-05-14,26026.75,26260.15,25815.7,26130.0,420858520.0,41345400000.0,NIFTY NEXT 50
2019-05-15,26161.4,26292.65,25937.25,26015.45,293256313.0,42031800000.0,NIFTY NEXT 50
2019-05-16,26013.1,26056.9,25729.05,26004.7,327161583.0,53760900000.0,NIFTY NEXT 50
2019-05-17,25984.55,26263.0,25910.6,26226.5,328549094.0,56121500000.0,NIFTY NEXT 50
2019-05-20,26828.95,27104.4,26655.3,27081.4,342279600.0,56408500000.0,NIFTY NEXT 50
2019-05-21,27180.4,27250.5,26786.1,26859.05,275973926.0,56016800000.0,NIFTY NEXT 50
2019-05-22,26927.15,26937.4,26676.7,26848.05,292906003.0,41333500000.0,NIFTY NEXT 50
2019-05-23,27203.55,27533.85,26883.45,26947.1,445955902.0,70889600000.0,NIFTY NEXT 50
2019-05-24,27080.0,27626.65,27071.95,27572.65,361207738.0,63808900000.0,NIFTY NEXT 50
2019-05-27,27496.55,27740.9,27415.05,27719.9,332753834.0,66046600000.0,NIFTY NEXT 50
2019-05-28,27838.8,27907.25,27681.0,27824.75,456916580.0,93088600000.0,NIFTY NEXT 50
2019-05-29,27860.1,27861.55,27597.9,27625.35,224609668.0,46175400000.0,NIFTY NEXT 50
2019-05-30,27670.05,27709.9,27583.55,27648.55,451148315.0,54450500000.0,NIFTY NEXT 50
2019-05-31,27772.0,27964.65,27626.65,27839.5,358846314.0,58104000000.0,NIFTY NEXT 50
2019-06-03,27943.95,28165.2,27797.35,28143.05,242900419.0,51313300000.0,NIFTY NEXT 50
2019-06-04,28080.5,28218.25,27950.7,27970.1,236045994.0,44117500000.0,NIFTY NEXT 50
2019-06-06,28029.9,28029.9,27336.95,27374.15,255954253.0,49724100000.0,NIFTY NEXT 50
2019-06-07,27370.5,27542.05,27127.65,27382.75,185760499.0,38311300000.0,NIFTY NEXT 50
2019-06-10,27490.2,27626.65,27400.75,27456.4,186054598.0,34330700000.0,NIFTY NEXT 50
2019-06-11,27508.75,27645.05,27324.05,27613.2,174068612.0,34631100000.0,NIFTY NEXT 50
2019-06-12,27599.05,27606.5,27352.7,27395.25,157628783.0,32844899999.999996,NIFTY NEXT 50
2019-06-13,27383.7,27408.9,27147.15,27379.2,197433562.0,37908800000.0,NIFTY NEXT 50
2019-06-14,27371.85,27385.25,27025.05,27093.0,165893194.0,32986200000.0,NIFTY NEXT 50
2019-06-17,27072.15,27087.65,26636.95,26672.3,202685157.0,61163300000.0,NIFTY NEXT 50
2019-06-18,26691.6,26811.5,26580.2,26705.0,188870299.0,44378900000.0,NIFTY NEXT 50
2019-06-19,26809.9,26893.75,26411.9,26551.8,214696841.0,39950200000.0,NIFTY NEXT 50
2019-06-20,26522.5,27058.85,26392.9,26998.15,204645416.0,39300500000.0,NIFTY NEXT 50
2019-06-21,26930.45,27031.55,26806.35,26926.2,242823187.0,51302900000.0,NIFTY NEXT 50
2019-06-24,26981.7,27029.2,26884.2,26960.25,169917270.0,34232500000.0,NIFTY NEXT 50
2019-06-25,26886.9,27054.1,26811.6,27028.45,189314718.0,59483800000.0,NIFTY NEXT 50
2019-06-26,26981.1,27304.1,26954.2,27246.3,,,NIFTY NEXT 50
2019-06-27,27269.5,27417.3,27252.0,27381.35,363996336.0,53842000000.0,NIFTY NEXT 50
2019-06-28,27431.4,27492.25,27285.8,27332.5,187919503.0,40301400000.0,NIFTY NEXT 50
2019-07-01,27436.85,27528.75,27402.15,27471.75,153123930.0,30932300000.0,NIFTY NEXT 50
2019-07-02,27547.95,27577.55,27435.75,27562.85,134945757.0,26775600000.0,NIFTY NEXT 50
2019-07-03,27642.35,27721.6,27535.55,27704.9,185313335.0,35908300000.0,NIFTY NEXT 50
2019-07-04,27726.45,27817.9,27721.7,27762.0,283910535.0,43804700000.0,NIFTY NEXT 50
2019-07-05,27820.55,27877.0,27297.85,27378.0,267048664.0,55564100000.0,NIFTY NEXT 50
2019-07-08,27206.8,27216.15,26708.85,26810.65,210990930.0,38603000000.0,NIFTY NEXT 50
2019-07-09,26806.85,26979.0,26607.2,26953.15,157349116.0,36049000000.0,NIFTY NEXT 50
2019-07-10,26897.2,26996.35,26689.7,26739.5,175139849.0,47599200000.0,NIFTY NEXT 50
2019-07-11,26858.25,26949.4,26758.1,26932.1,194767826.0,49567700000.00001,NIFTY NEXT 50
2019-07-12,26977.75,27139.65,26933.25,26983.65,159945697.0,37855800000.0,NIFTY NEXT 50
2019-07-15,27039.6,27148.7,26929.7,27096.3,143758684.0,37308900000.0,NIFTY NEXT 50
2019-07-16,27072.45,27395.0,27031.1,27365.5,172897717.0,43155400000.0,NIFTY NEXT 50
2019-07-17,27371.5,27547.5,27354.95,27428.35,179694167.0,44627000000.0,NIFTY NEXT 50
2019-07-18,27410.7,27417.5,27094.4,27120.05,189421872.0,43253500000.0,NIFTY NEXT 50
2019-07-19,27264.6,27323.2,26598.3,26656.15,259852759.0,64847900000.0,NIFTY NEXT 50
2019-07-22,26615.55,26713.9,26331.85,26676.1,187813267.0,44226600000.0,NIFTY NEXT 50
2019-07-23,26706.25,26752.0,26495.7,26560.25,216330631.0,42993100000.00001,NIFTY NEXT 50
2019-07-24,26569.9,26638.45,26064.95,26133.9,293172588.0,56484200000.0,NIFTY NEXT 50
2019-07-25,26221.6,26476.65,26215.3,26302.15,232015815.0,53435900000.0,NIFTY NEXT 50
2019-07-26,26342.35,26629.5,26253.95,26553.9,248122116.0,39518200000.0,NIFTY NEXT 50
2019-07-29,26532.3,26559.05,26086.65,26197.35,800260852.0,39161900000.0,NIFTY NEXT 50
2019-07-30,26207.0,26397.65,25796.4,25838.0,544330890.0,46018600000.0,NIFTY NEXT 50
2019-07-31,25748.25,26111.85,25490.05,26071.3,323464956.0,40793000000.0,NIFTY NEXT 50
2019-08-01,25957.5,26107.75,25508.25,25732.95,298354061.0,41671899999.99999,NIFTY NEXT 50
2019-08-02,25607.4,25953.4,25336.7,25811.25,448886253.0,52951100000.0,NIFTY NEXT 50
2019-08-05,25639.6,25728.1,25337.8,25601.75,276803220.0,37665800000.0,NIFTY NEXT 50
2019-08-06,25502.7,25930.1,25498.7,25848.5,300516320.0,41565900000.0,NIFTY NEXT 50
2019-08-07,25893.6,26054.25,25675.15,25730.0,322850113.0,41356500000.0,NIFTY NEXT 50
2019-08-08,25875.45,26117.45,25745.4,26050.65,375943807.0,53970800000.0,NIFTY NEXT 50
2019-08-09,26159.65,26443.0,26133.6,26236.6,345376883.0,49284799999.99999,NIFTY NEXT 50
2019-08-13,26228.3,26228.9,25583.05,25636.1,404567265.0,46445400000.0,NIFTY NEXT 50
2019-08-14,25659.3,25958.95,25553.65,25914.0,352211522.0,57689100000.0,NIFTY NEXT 50
2019-08-16,25837.5,26021.85,25693.65,25999.6,414305093.0,39953000000.0,NIFTY NEXT 50
2019-08-19,26078.4,26266.05,25947.05,25981.65,271331850.0,38824400000.0,NIFTY NEXT 50
2019-08-20,26005.55,26032.85,25708.4,25783.45,323298786.0,39802900000.0,NIFTY NEXT 50
2019-08-21,25827.2,25837.75,25455.55,25482.05,298545967.0,40817600000.0,NIFTY NEXT 50
2019-08-22,25460.85,25476.85,25078.75,25136.9,432641931.0,50688200000.0,NIFTY NEXT 50
2019-08-23,25081.4,25418.0,24873.25,25345.1,396929665.0,47037200000.0,NIFTY NEXT 50
2019-08-26,25749.0,25849.55,25174.25,25813.55,457364057.0,51626500000.0,NIFTY NEXT 50
2019-08-27,25929.25,26226.9,25923.3,26156.25,506307212.0,102106299999.99998,NIFTY NEXT 50
2019-08-28,26204.2,26234.25,25880.5,26032.15,354754390.0,42292600000.0,NIFTY NEXT 50
2019-08-29,25979.6,26099.2,25820.25,26046.9,333285731.0,38326600000.0,NIFTY NEXT 50
2019-08-30,26155.65,26457.2,26001.45,26405.05,338095558.0,50542100000.0,NIFTY NEXT 50
2019-09-03,26259.85,26310.35,25770.45,25834.35,235497641.0,44937100000.0,NIFTY NEXT 50
2019-09-04,25858.55,25893.75,25511.95,25800.55,261045879.0,42002200000.0,NIFTY NEXT 50
2019-09-05,25878.95,26036.8,25853.55,25935.05,236876724.0,38213700000.0,NIFTY NEXT 50
2019-09-06,26025.2,26082.35,25883.95,26053.95,252987894.0,34588500000.0,NIFTY NEXT 50
2019-09-09,26048.65,26189.45,25970.4,26141.0,198896456.0,28669100000.0,NIFTY NEXT 50
2019-09-11,26184.95,26363.6,26112.05,26309.65,342399974.0,62171600000.0,NIFTY NEXT 50
2019-09-12,26380.0,26495.85,26253.15,26285.0,300496658.0,40260300000.0,NIFTY NEXT 50
2019-09-13,26375.05,26486.45,26104.45,26460.1,298072326.0,42604399999.99999,NIFTY NEXT 50
2019-09-16,26282.15,26494.6,26163.4,26431.2,211777953.0,39539600000.0,NIFTY NEXT 50
2019-09-17,26436.6,26476.65,25947.4,25987.95,362805829.0,42972500000.0,NIFTY NEXT 50
2019-09-18,26127.3,26193.1,25948.1,26149.9,274232923.0,34004500000.0,NIFTY NEXT 50
2019-09-19,26178.7,26189.0,25814.75,25922.1,469329052.0,32245200000.0,NIFTY NEXT 50
2019-09-20,26026.45,27476.35,25812.05,27406.85,676180708.0,96725200000.0,NIFTY NEXT 50
2019-09-23,27841.7,28152.15,27731.2,27912.35,447534013.0,84226900000.0,NIFTY NEXT 50
2019-09-24,27972.2,28030.4,27679.35,27942.55,307909518.0,50589399999.99999,NIFTY NEXT 50
2019-09-25,27874.15,27891.95,27408.6,27484.5,300192303.0,48753600000.0,NIFTY NEXT 50
2019-09-26,27517.6,27929.35,27512.95,27811.0,344957114.0,62269900000.0,NIFTY NEXT 50
2019-09-27,27790.7,27955.2,27710.05,27818.1,322904494.0,57227000000.0,NIFTY NEXT 50
2019-09-30,27794.4,27807.7,27380.1,27520.3,676661838.0,76576300000.0,NIFTY NEXT 50
2019-10-01,27630.5,27758.65,26901.8,27249.85,565909064.0,79474300000.0,NIFTY NEXT 50
2019-10-03,27151.6,27285.35,26924.3,27023.2,367964313.0,59208800000.0,NIFTY NEXT 50
2019-10-04,27136.25,27180.5,26641.1,26681.6,314793143.0,51390200000.00001,NIFTY NEXT 50
2019-10-07,26651.8,26680.45,26256.7,26295.05,323006240.0,56884200000.0,NIFTY NEXT 50
2019-10-09,26320.9,26681.25,26169.05,26660.3,458080560.0,62605300000.0,NIFTY NEXT 50
2019-10-10,26575.8,26684.0,26421.4,26492.85,688172340.0,64772200000.0,NIFTY NEXT 50
2019-10-11,26556.8,26699.1,26385.15,26598.6,418024728.0,68913800000.0,NIFTY NEXT 50
2019-10-14,26679.6,26899.8,26622.7,26791.6,375422194.0,55663100000.00001,NIFTY NEXT 50
2019-10-15,26829.75,27052.6,26803.25,27010.6,364648965.0,86196600000.0,NIFTY NEXT 50
2019-10-16,27085.1,27285.25,27041.9,27240.55,554664940.0,95792300000.0,NIFTY NEXT 50
2019-10-17,27275.6,27650.6,27230.8,27627.6,459730274.0,70988000000.0,NIFTY NEXT 50
2019-10-18,27665.2,28065.1,27605.5,28014.15,405696438.0,71481500000.0,NIFTY NEXT 50
2019-10-22,28088.0,28379.95,28049.4,28163.95,415268821.0,81053800000.0,NIFTY NEXT 50
2019-10-23,28202.65,28326.05,28007.75,28140.45,375759536.0,60301000000.0,NIFTY NEXT 50
